Schlüssel WZ 2009,Ebene,Titel,Übersektor
46145,5,"Handelsvermittlung von Büromaschinen, Datenverarbeitungsgeräten, peripheren Geräten und Software",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46146,5,Handelsvermittlung von landwirtschaftlichen Maschinen und Geräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46147,5,"Handelsvermittlung von Installationsbedarf für Gas, Wasser, Heizung und Klimatechnik",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46149,5,Handelsvermittlung von elektrotechnischen und elektronischen Erzeugnissen a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4615,4,"Handelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46151,5,"Handelsvermittlung von Möbeln, Einrichtungsgegenständen und Antiquitäten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46152,5,"Handelsvermittlung von keramischen Erzeugnissen, Glaswaren, Holzwaren a. n. g., sowie Flecht- und Korbwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46153,5,Handelsvermittlung von elektrischen Haushaltsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46154,5,"Handelsvermittlung von Eisen-, Metall- und Kunststoffwaren a. n. g.",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46155,5,Handelsvermittlung von Putz- und Reinigungsmitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4616,4,"Handelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46161,5,Handelsvermittlung von Meterware für Bekleidung und Wäsche,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46162,5,Handelsvermittlung von Heim- und Haustextilien und Bodenbelägen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46163,5,Handelsvermittlung von Bekleidung,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46164,5,Handelsvermittlung von Bekleidungszubehör,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46165,5,"Handelsvermittlung von Schuhen, Lederwaren und Reisegepäck",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4617,4,"Handelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46171,5,Handelsvermittlung von Zucker und Süßwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46172,5,"Handelsvermittlung von Wein, Sekt und Spirituosen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46179,5,"Handelsvermittlung von sonstigen Nahrungsmitteln, Getränken und Tabakwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4618,4,Handelsvermittlung von sonstigen Waren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46181,5,"Handelsvermittlung von feinmechanischen, Foto- und optischen Erzeugnissen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46182,5,"Handelsvermittlung von Uhren, Edelmetallwaren und Schmuck",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46183,5,Handelsvermittlung von Spielwaren und Musikinstrumenten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46184,5,"Handelsvermittlung von pharmazeutischen Erzeugnissen, medizinischen und orthopädischen Artikeln und Laborbedarf, Ärztebedarf, Dentalbedarf, zahnärztlichen Instrumenten, Krankenhaus- und Altenpflegebedarf",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46185,5,Handelsvermittlung von kosmetischen Erzeugnissen und Körperpflegemitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46186,5,"Handelsvermittlung von Karton, Papier und Pappe, Schreibwaren, Bürobedarf, Geschenk- und Werbeartikeln, Verpackungsmitteln und Tapeten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46187,5,"Handelsvermittlung von Büchern, Zeitschriften, Zeitungen, Musikalien und sonstigen Druckerzeugnissen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46189,5,Handelsvermittlung von sonstigen Waren a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4619,4,Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46190,5,Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
462,3,Großhandel mit landwirtschaftlichen Grundstoffen und lebenden Tieren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4621,4,"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46210,5,"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4622,4,Großhandel mit Blumen und Pflanzen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46220,5,Großhandel mit Blumen und Pflanzen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4623,4,Großhandel mit lebenden Tieren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46230,5,Großhandel mit lebenden Tieren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4624,4,"Großhandel mit Häuten, Fellen und Leder",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46240,5,"Großhandel mit Häuten, Fellen und Leder",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
463,3,"Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4631,4,"Großhandel mit Obst, Gemüse und Kartoffeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46310,5,"Großhandel mit Obst, Gemüse und Kartoffeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4632,4,Großhandel mit Fleisch und Fleischwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46320,5,Großhandel mit Fleisch und Fleischwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4633,4,"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46330,5,"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4634,4,Großhandel mit Getränken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46340,5,Großhandel mit Getränken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4635,4,Großhandel mit Tabakwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46350,5,Großhandel mit Tabakwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4636,4,"Großhandel mit Zucker, Süßwaren und Backwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46360,5,"Großhandel mit Zucker, Süßwaren und Backwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4637,4,"Großhandel mit Kaffee, Tee, Kakao und Gewürzen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46370,5,"Großhandel mit Kaffee, Tee, Kakao und Gewürzen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4638,4,Großhandel mit sonstigen Nahrungs- und Genussmitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46381,5,Großhandel mit Fisch und Fischerzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46382,5,Großhandel mit Mehl und Getreideprodukten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46389,5,Großhandel mit Nahrungs- und Genussmitteln a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4639,4,"Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46391,5,"Großhandel mit tiefgefrorenen Nahrungsmitteln, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46399,5,"Großhandel mit sonstigen Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
464,3,Großhandel mit Gebrauchs- und Verbrauchsgütern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4641,4,Großhandel mit Textilien,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46410,5,Großhandel mit Textilien,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4642,4,Großhandel mit Bekleidung und Schuhen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46421,5,Großhandel mit Bekleidung,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46422,5,Großhandel mit Schuhen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4643,4,"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46431,5,Großhandel mit Foto- und optischen Erzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46432,5,Großhandel mit elektrischen Haushaltsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46433,5,Großhandel mit Geräten der Unterhaltungselektronik,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4644,4,"Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46441,5,Großhandel mit keramischen Erzeugnissen und Glaswaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46442,5,"Großhandel mit Wasch-, Putz- und Reinigungsmitteln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4645,4,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46450,5,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4646,4,"Großhandel mit pharmazeutischen, medizinischen und orthopädischen Erzeugnissen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46461,5,Großhandel mit pharmazeutischen Erzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46462,5,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4647,4,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46470,5,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4648,4,Großhandel mit Uhren und Schmuck,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46480,5,Großhandel mit Uhren und Schmuck,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4649,4,Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46491,5,Großhandel mit Spielwaren und Musikinstrumenten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46492,5,"Großhandel mit Fahrrädern, Fahrradteilen und -zubehör, Sport- und Campingartikeln (ohne Campingmöbel)",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46493,5,"Großhandel mit Lederwaren, Reisegepäck, Geschenk- und Werbeartikeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46494,5,"Großhandel mit Karton, Papier, Pappe, Schreibwaren, Bürobedarf, Büchern, Zeitschriften und Zeitungen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46495,5,"Großhandel mit nicht elektrischen Haushaltsgeräten, Haushaltswaren aus Metall sowie sonstigen Gebrauchs- und Verbrauchsgütern a. n. g.",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
465,3,Großhandel mit Geräten der Informations- und Kommunikationstechnik,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4651,4,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46510,5,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4652,4,Großhandel mit elektronischen Bauteilen und Telekommunikationsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46520,5,Großhandel mit elektronischen Bauteilen und Telekommunikationsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
466,3,"Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4661,4,Großhandel mit landwirtschaftlichen Maschinen und Geräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46610,5,Großhandel mit landwirtschaftlichen Maschinen und Geräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4662,4,Großhandel mit Werkzeugmaschinen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46620,5,Großhandel mit Werkzeugmaschinen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4663,4,"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46630,5,"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4664,4,"Großhandel mit Textil-, Näh- und Strickmaschinen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46640,5,"Großhandel mit Textil-, Näh- und Strickmaschinen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4665,4,Großhandel mit Büromöbeln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46650,5,Großhandel mit Büromöbeln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4666,4,Großhandel mit sonstigen Büromaschinen und -einrichtungen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46660,5,Großhandel mit sonstigen Büromaschinen und -einrichtungen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4669,4,Großhandel mit sonstigen Maschinen und Ausrüstungen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46691,5,Großhandel mit Flurförderzeugen und Fahrzeugen a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46692,5,Großhandel mit sonstigen Maschinen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46693,5,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
467,3,Sonstiger Großhandel,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4671,4,Großhandel mit festen Brennstoffen und Mineralölerzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46711,5,Großhandel mit festen Brennstoffen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46712,5,Großhandel mit Mineralölerzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4672,4,"Großhandel mit Erzen, Metallen und Metallhalbzeug",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46721,5,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46722,5,"Großhandel mit NE-Erzen, NE-Metallen und NE-Metallhalbzeug",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4673,4,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46731,5,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46732,5,Großhandel mit Roh- und Schnittholz,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46733,5,Großhandel mit sonstigen Holzhalbwaren sowie Bauelementen aus Holz,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46734,5,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46735,5,Großhandel mit Flachglas,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46736,5,Großhandel mit Anstrichmitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46737,5,Großhandel mit Sanitärkeramik,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46738,5,Großhandel mit Tapeten und Bodenbelägen (ohne Teppiche),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4674,4,"Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46741,5,Großhandel mit Werkzeugen und Kleineisenwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46742,5,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46743,5,Großhandel mit Metall- und Kunststoffwaren für Bauzwecke,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4675,4,Großhandel mit chemischen Erzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46750,5,Großhandel mit chemischen Erzeugnissen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4676,4,Großhandel mit sonstigen Halbwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46760,5,Großhandel mit sonstigen Halbwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4677,4,Großhandel mit Altmaterialien und Reststoffen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46770,5,Großhandel mit Altmaterialien und Reststoffen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
469,3,Großhandel ohne ausgeprägten Schwerpunkt,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
469,4,Großhandel ohne ausgeprägten Schwerpunkt,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46901,5,"Großhandel mit Rohstoffen, Halb- und Fertigwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46902,5,"Großhandel mit Rohstoffen und Halbwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
46903,5,"Großhandel mit Fertigwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47,2,Einzelhandel (ohne Handel mit Kraftfahrzeugen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
471,3,Einzelhandel mit Waren verschiedener Art (in Verkaufsräumen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4711,4,"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47111,5,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47112,5,"Sonstiger Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4719,4,Sonstiger Einzelhandel mit Waren verschiedener Art,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47191,5,Einzelhandel mit Waren verschiedener Art (ohne Nahrungsmittel),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47192,5,"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nicht-Nahrungsmittel",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
472,3,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren (in Verkaufsräumen)",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4721,4,"Einzelhandel mit Obst, Gemüse und Kartoffeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47210,5,"Einzelhandel mit Obst, Gemüse und Kartoffeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4722,4,Einzelhandel mit Fleisch und Fleischwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47220,5,Einzelhandel mit Fleisch und Fleischwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4723,4,"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47230,5,"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4724,4,Einzelhandel mit Back- und Süßwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47240,5,Einzelhandel mit Back- und Süßwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4725,4,Einzelhandel mit Getränken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47250,5,Einzelhandel mit Getränken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4726,4,Einzelhandel mit Tabakwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47260,5,Einzelhandel mit Tabakwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4729,4,Sonstiger Einzelhandel mit Nahrungs- und Genussmitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47290,5,Sonstiger Einzelhandel mit Nahrungs- und Genussmitteln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
473,3,Einzelhandel mit Motorenkraftstoffen (Tankstellen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
473,4,Einzelhandel mit Motorenkraftstoffen (Tankstellen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47301,5,Einzelhandel in fremdem Namen mit Motorenkraftstoffen (Agenturtankstellen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47302,5,Einzelhandel in eigenem Namen mit Motorenkraftstoffen (Freie Tankstellen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
474,3,Einzelhandel mit Geräten der Informations- und Kommunikationstechnik (in Verkaufsräumen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4741,4,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47410,5,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4742,4,Einzelhandel mit Telekommunikationsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47420,5,Einzelhandel mit Telekommunikationsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4743,4,Einzelhandel mit Geräten der Unterhaltungselektronik,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47430,5,Einzelhandel mit Geräten der Unterhaltungselektronik,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
475,3,"Einzelhandel mit sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf (in Verkaufsräumen)",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4751,4,Einzelhandel mit Textilien,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47510,5,Einzelhandel mit Textilien,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4752,4,"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47521,5,Einzelhandel mit Metall- und Kunststoffwaren a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47523,5,"Einzelhandel mit Anstrichmitteln, Bau- und Heimwerkerbedarf",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4753,4,"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47530,5,"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4754,4,Einzelhandel mit elektrischen Haushaltsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47540,5,Einzelhandel mit elektrischen Haushaltsgeräten,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4759,4,"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47591,5,Einzelhandel mit Wohnmöbeln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47592,5,Einzelhandel mit keramischen Erzeugnissen und Glaswaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47593,5,Einzelhandel mit Musikinstrumenten und Musikalien,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47599,5,Einzelhandel mit Haushaltsgegenständen a. n. g.,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
476,3,"Einzelhandel mit Verlagsprodukten, Sportausrüstungen und Spielwaren (in Verkaufsräumen)",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4761,4,Einzelhandel mit Büchern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47610,5,Einzelhandel mit Büchern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4762,4,"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47621,5,Einzelhandel mit Zeitschriften und  Zeitungen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47622,5,"Einzelhandel mit Schreib- und Papierwaren, Schul- und Büroartikeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4763,4,Einzelhandel mit bespielten Ton- und Bildträgern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47630,5,Einzelhandel mit bespielten Ton- und Bildträgern,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4764,4,"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47641,5,"Einzelhandel mit Fahrrädern, Fahrradteilen und -zubehör",Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47642,5,Einzelhandel mit Sport- und Campingartikeln (ohne Campingmöbel),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4765,4,Einzelhandel mit Spielwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47650,5,Einzelhandel mit Spielwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
477,3,Einzelhandel mit sonstigen Gütern (in Verkaufsräumen),Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4771,4,Einzelhandel mit Bekleidung,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47710,5,Einzelhandel mit Bekleidung,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4772,4,Einzelhandel mit Schuhen und Lederwaren,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47721,5,Einzelhandel mit Schuhen,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47722,5,Einzelhandel mit Lederwaren und Reisegepäck,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4773,4,Apotheken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
47730,5,Apotheken,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
4774,4,Einzelhandel mit medizinischen und orthopädischen Artikeln,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen
