sector;sector_string
99;Bergbau und Gewinnung von Steinen und Erden
99;Bergbau und Gewinnung von Steinen und Erden
9900;Bergbau und Gewinnung von Steinen und Erden
10;Verarbeitendes Gewerbe
101;Verarbeitendes Gewerbe
1011;Verarbeitendes Gewerbe
10110;Verarbeitendes Gewerbe
1012;Verarbeitendes Gewerbe
10120;Verarbeitendes Gewerbe
1013;Verarbeitendes Gewerbe
10130;Verarbeitendes Gewerbe
102;Verarbeitendes Gewerbe
102;Verarbeitendes Gewerbe
10200;Verarbeitendes Gewerbe
103;Verarbeitendes Gewerbe
1031;Verarbeitendes Gewerbe
10310;Verarbeitendes Gewerbe
1032;Verarbeitendes Gewerbe
10320;Verarbeitendes Gewerbe
1039;Verarbeitendes Gewerbe
10390;Verarbeitendes Gewerbe
104;Verarbeitendes Gewerbe
1041;Verarbeitendes Gewerbe
10410;Verarbeitendes Gewerbe
1042;Verarbeitendes Gewerbe
10420;Verarbeitendes Gewerbe
105;Verarbeitendes Gewerbe
1051;Verarbeitendes Gewerbe
10510;Verarbeitendes Gewerbe
1052;Verarbeitendes Gewerbe
10520;Verarbeitendes Gewerbe
106;Verarbeitendes Gewerbe
1061;Verarbeitendes Gewerbe
10610;Verarbeitendes Gewerbe
1062;Verarbeitendes Gewerbe
10620;Verarbeitendes Gewerbe
107;Verarbeitendes Gewerbe
1071;Verarbeitendes Gewerbe
10710;Verarbeitendes Gewerbe
1072;Verarbeitendes Gewerbe
10720;Verarbeitendes Gewerbe
1073;Verarbeitendes Gewerbe
10730;Verarbeitendes Gewerbe
108;Verarbeitendes Gewerbe
1081;Verarbeitendes Gewerbe
10810;Verarbeitendes Gewerbe
1082;Verarbeitendes Gewerbe
10820;Verarbeitendes Gewerbe
1083;Verarbeitendes Gewerbe
10830;Verarbeitendes Gewerbe
1084;Verarbeitendes Gewerbe
10840;Verarbeitendes Gewerbe
1085;Verarbeitendes Gewerbe
10850;Verarbeitendes Gewerbe
1086;Verarbeitendes Gewerbe
10860;Verarbeitendes Gewerbe
1089;Verarbeitendes Gewerbe
10890;Verarbeitendes Gewerbe
109;Verarbeitendes Gewerbe
1091;Verarbeitendes Gewerbe
10910;Verarbeitendes Gewerbe
1092;Verarbeitendes Gewerbe
10920;Verarbeitendes Gewerbe
11;Verarbeitendes Gewerbe
11;Verarbeitendes Gewerbe
1101;Verarbeitendes Gewerbe
11010;Verarbeitendes Gewerbe
1102;Verarbeitendes Gewerbe
11020;Verarbeitendes Gewerbe
1103;Verarbeitendes Gewerbe
11030;Verarbeitendes Gewerbe
1104;Verarbeitendes Gewerbe
11040;Verarbeitendes Gewerbe
1105;Verarbeitendes Gewerbe
11050;Verarbeitendes Gewerbe
1106;Verarbeitendes Gewerbe
11060;Verarbeitendes Gewerbe
1107;Verarbeitendes Gewerbe
11070;Verarbeitendes Gewerbe
12;Verarbeitendes Gewerbe
12;Verarbeitendes Gewerbe
12;Verarbeitendes Gewerbe
12000;Verarbeitendes Gewerbe
13;Verarbeitendes Gewerbe
131;Verarbeitendes Gewerbe
131;Verarbeitendes Gewerbe
13100;Verarbeitendes Gewerbe
